"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,0.300000,0.300042,0,73,0,0,yes,1.000000
25,,167.921300,234.538000,0,6,0,0,yes,1.000000
24,,417.253680,484.284000,0,23,0,0,yes,1.000000
23,,222.771060,230.588000,0,18,0,0,yes,1.000000
22,,94.149760,95.832300,0,11,0,0,yes,1.000000
21,,50.430578,69.518000,0,11,0,0,yes,1.000000
20,,4000.000000,10000.000000,0,1,0,0,yes,1.000000
19,,16000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,6000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,30000.000000,60000.000000,0,5,0,0,yes,1.000000
16,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,22000.000000,40000.000000,0,4,0,0,yes,1.000000
14,,34000.000000,80000.000000,0,6,0,0,yes,1.000000
13,,14000.000000,20000.000000,0,1,0,0,yes,1.000000
12,,8000.000000,20000.000000,0,1,0,0,yes,1.000000
11,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,3054000.000000,3300000.000000,0,3,0,0,yes,1.000000
8,,311726000.000000,344970000.000000,0,22,0,0,yes,1.000000
7,,283046000.000000,341260000.000000,0,14,0,0,yes,1.000000
6,,21938000.000000,28280000.000000,0,11,0,0,yes,1.000000
5,,3452000.000000,6490000.000000,0,3,0,0,yes,1.000000
4,,2916000.000000,2940000.000000,0,6,0,0,yes,1.000000
3,,3426000.000000,9220000.000000,0,3,0,0,yes,1.000000
2,,34816000.000000,37300000.000000,0,6,0,0,yes,1.000000
1,,158276000.000000,186650000.000000,0,11,0,0,yes,1.000000
